question_name,statistic,Alternative_salary,Salary_cut
ACME,Mean,75986.91489361702,24013.085106382976
ACME,Median,75000,25000
ACME -- Upstream,Mean,81695.26666666666,18304.733333333337
ACME -- Upstream,Median,95000,5000
IBM,Mean,59854.0802,40145.9198
IBM,Median,65000,35000
McKinsey -- MBS,Mean,95686.33333333333,4313.6666666666715
McKinsey -- MBS,Median,90000,10000
McKinsey -- Colleagues,Mean,97800.04,2199.9600000000064
McKinsey -- Colleagues,Median,100000,0
SenseTime,Mean,72156.92156862745,27843.078431372545
SenseTime,Median,80000,20000
